time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place
1930-02-02T14:56:02.000Z,51.389,179.824,25,6.4,mw,,,,,iscgem,iscgem907212,2015-05-13T18:52:42.000Z,
1930-01-18T07:04:02.000Z,-4.61,153.176,35,6.5,mw,,,,,iscgemsup,iscgemsup907200,2015-07-13T17:02:22.000Z,
1931-12-18T09:49:23.000Z,-6.197,102.191,20,6.3,mw,,,,,iscgem,iscgem907165,2015-05-13T18:52:43.000Z,
1931-12-01T03:20:33.000Z,-62.837,153.908,10,6.3,mw,,,,,iscgemsup,iscgemsup907143,2015-07-13T17:02:22.000Z,
1931-11-20T14:16:30.000Z,-10.489,161.592,15,6.7,mw,,,,,iscgem,iscgem907131,2015-05-13T18:52:43.000Z,
1931-11-05T12:19:35.000Z,46.938,89.399,10,6.4,mw,,,,,iscgem,iscgem907119,2015-05-13T18:52:43.000Z,
1931-11-02T17:03:05.000Z,-7.638,145.648,15,6.5,mw,,,,,iscgem,iscgem907110,2015-05-13T18:52:43.000Z,
1931-11-02T10:03:04.000Z,31.899,132.009,35,7.5,mw,,,,,iscgem,iscgem907108,2015-05-13T18:52:43.000Z,
1931-10-28T05:35:19.000Z,18.854,121.013,25,6.2,mw,,,,,iscgem,iscgem907099,2015-05-13T18:52:43.000Z,
1931-10-10T16:37:10.000Z,59.307,148.259,35,6.4,mw,,,,,iscgem,iscgem907072,2015-05-13T18:52:43.000Z,
1931-10-10T00:19:57.000Z,-9.732,161.211,15,7.7,mw,,,,,iscgem,iscgem907065,2015-05-13T18:52:43.000Z,
1931-10-03T22:47:46.000Z,-10.931,161.414,15,7,mw,,,,,iscgem,iscgem907057,2015-05-13T18:52:43.000Z,
1931-10-03T21:18:17.000Z,-12.131,161.333,15,7,mw,,,,,iscgem,iscgem907055,2015-05-13T18:52:43.000Z,
1931-10-03T19:13:22.000Z,-11.117,161.11,15,7.9,mw,,,,,iscgem,iscgem907054,2015-05-13T18:52:43.000Z,
1931-09-26T20:03:04.000Z,12.894,-91.52,15,6.3,mw,,,,,iscgem,iscgem907039,2015-05-13T18:52:43.000Z,
1931-09-25T05:59:52.000Z,-5.433,102.279,35,7.4,mw,,,,,iscgem,iscgem907033,2015-05-13T18:52:43.000Z,
1931-09-21T10:27:23.000Z,19.481,113.083,25,6.7,mw,,,,,iscgem,iscgem907025,2015-05-13T18:52:43.000Z,
1931-09-21T02:20:02.000Z,36.131,139.367,15,6.5,mw,,,,,iscgem,iscgem907024,2015-05-13T18:52:43.000Z,
1931-08-27T15:27:21.000Z,29.784,67.365,10,7.2,mw,,,,,iscgemsup,iscgemsup906971,2015-07-13T17:02:22.000Z,
1931-08-24T21:35:24.000Z,29.742,67.722,10,6.8,mw,,,,,iscgem,iscgem906960,2015-05-13T18:52:43.000Z,
1931-08-18T14:21:05.000Z,47.264,89.859,10,7.1,mw,,,,,iscgem,iscgem906951,2015-05-13T18:52:43.000Z,
1931-08-16T11:40:25.000Z,30.664,-104.367,10,6.5,mw,,,,,iscgem,iscgem906944,2018-01-11T20:12:45.083Z,
1931-08-10T21:18:45.000Z,46.817,89.915,10,7.9,mw,,,,,iscgem,iscgem906933,2015-05-13T18:52:43.000Z,
1931-08-07T02:11:44.000Z,-3.417,142.077,35,7,mw,,,,,iscgem,iscgem906921,2015-05-13T18:52:43.000Z,
1931-07-21T03:36:15.000Z,-20.894,169.962,55,6.2,mw,,,,,iscgemsup,iscgemsup906886,2015-07-13T17:02:22.000Z,
1931-07-18T11:23:47.000Z,54.495,160.794,15,6.3,mw,,,,,iscgem,iscgem906879,2015-05-13T18:52:43.000Z,
1931-07-12T16:45:30.000Z,12.628,123.734,15,6.5,mw,,,,,iscgem,iscgem906870,2015-05-13T18:52:43.000Z,
1931-06-23T06:14:58.000Z,36.268,141.684,25,6.4,mw,,,,,iscgem,iscgem17248699,2015-05-13T18:52:43.000Z,
1931-06-09T15:58:47.000Z,-24.287,-176.742,35,6.3,mw,,,,,iscgem,iscgem906818,2015-05-13T18:52:43.000Z,
1931-06-09T13:52:21.000Z,-14.688,-175.237,20,6.3,mw,,,,,iscgem,iscgem906817,2015-05-13T18:52:43.000Z,
1931-05-20T02:22:52.000Z,37.795,-16.168,10,7.1,mw,,,,,iscgem,iscgem906785,2015-05-13T18:52:43.000Z,
1931-04-27T16:50:45.000Z,39.291,45.95,15,6.5,mw,,,,,iscgem,iscgem906750,2015-05-13T18:52:43.000Z,
1931-04-24T17:22:17.000Z,-6.628,154.774,15,6.7,mw,,,,,iscgem,iscgem906742,2015-05-13T18:52:43.000Z,
1931-04-12T02:00:50.000Z,-23.276,169.345,15,6.2,mw,,,,,iscgem,iscgem906717,2015-05-13T18:52:43.000Z,
1931-04-06T06:49:42.000Z,-6.618,155.245,35,6.5,mw,,,,,iscgem,iscgem906708,2015-05-13T18:52:43.000Z,
1931-03-19T06:25:03.000Z,18.095,120.43,15,6.7,mw,,,,,iscgem,iscgem906682,2015-05-13T18:52:43.000Z,
1931-03-18T20:13:41.000Z,5.811,126.144,35,6.7,mw,,,,,iscgem,iscgem906681,2015-05-13T18:52:43.000Z,
1931-03-18T08:02:25.000Z,-33.778,-71.478,35,7.2,mw,,,,,iscgem,iscgem906680,2015-05-13T18:52:43.000Z,
1931-03-11T12:26:47.000Z,23.387,143.598,35,6.7,mw,,,,,iscgem,iscgem906671,2015-05-13T18:52:43.000Z,
1931-03-09T03:49:00.000Z,40.572,142.398,35,7.8,mw,,,,,iscgem,iscgem906664,2015-05-13T18:52:43.000Z,
1931-03-08T01:50:21.000Z,41.34,22.659,10,6.6,mw,,,,,iscgem,iscgem906655,2015-05-13T18:52:43.000Z,
1931-03-02T02:18:30.000Z,-21.91,170.833,70,6.7,mw,,,,,iscgem,iscgem906645,2015-05-13T18:52:43.000Z,
1931-02-27T09:37:44.000Z,2.041,126.149,35,6.5,mw,,,,,iscgem,iscgem906642,2015-05-13T18:52:43.000Z,
1931-02-19T17:40:36.000Z,-5.226,102.489,35,6.5,mw,,,,,iscgem,iscgem906632,2015-05-13T18:52:43.000Z,
1931-02-16T18:48:37.000Z,42.211,143.07,25,6.3,mw,,,,,iscgem,iscgem906631,2015-05-13T18:52:43.000Z,
1931-02-14T13:58:53.000Z,-4.394,102.965,15,6.6,mw,,,,,iscgem,iscgem906630,2015-05-13T18:52:43.000Z,
1931-02-13T01:27:27.000Z,-39.482,176.216,45,7.3,mw,,,,,iscgem,iscgem906628,2015-05-13T18:52:43.000Z,
1931-02-12T05:44:05.000Z,-5.317,103.046,35,6.4,mw,,,,,iscgem,iscgem906625,2015-05-13T18:52:43.000Z,
1931-02-10T06:34:34.000Z,-5.412,102.557,35,7,mw,,,,,iscgem,iscgem906621,2015-05-13T18:52:43.000Z,
1931-02-08T01:43:50.000Z,-39.67,177.147,15,6.4,mw,,,,,iscgem,iscgem906616,2015-05-13T18:52:43.000Z,
1931-02-02T22:46:52.000Z,-39.659,176.42,35,7.4,mw,,,,,iscgem,iscgem906607,2015-05-13T18:52:43.000Z,
1931-01-28T21:24:12.000Z,10.888,144.357,15,7.2,mw,,,,,iscgem,iscgem906597,2015-05-13T18:52:43.000Z,
1931-01-27T20:09:19.000Z,25.851,96.79,15,7.6,mw,,,,,iscgem,iscgem906595,2015-05-13T18:52:43.000Z,
1931-01-17T02:50:21.000Z,26.677,-110.396,10,6.7,mw,,,,,iscgem,iscgem906572,2015-05-13T18:52:43.000Z,
1931-01-16T19:19:58.000Z,16.016,-96.547,30,6.3,mw,,,,,iscgem,iscgem906570,2015-05-13T18:52:43.000Z,
1931-01-15T22:43:07.000Z,-2.776,143.367,15,6.5,mw,,,,,iscgem,iscgem906567,2015-05-13T18:52:43.000Z,
1931-01-15T01:50:48.000Z,16.037,-96.583,35,7.6,mw,,,,,iscgem,iscgem906564,2015-05-13T18:52:43.000Z,
1931-01-02T09:49:05.000Z,18.659,-107.433,20,6.7,mw,,,,,iscgem,iscgem906544,2015-05-13T18:52:43.000Z,
1931-01-01T23:52:29.000Z,24.005,122.425,15,6.4,mw,,,,,iscgem,iscgem906543,2015-05-13T18:52:43.000Z,
1932-12-31T14:33:11.770Z,37.477,-118.1143333,6,3.5,ml,4,341,0.432,2.86,ci,ci3359496,2016-01-27T18:38:21.960Z,
1932-12-31T06:30:56.000Z,-29.315,33.095,15,6.8,mw,,,,,iscgem,iscgem906542,2015-05-13T18:52:43.000Z,
1932-12-30T21:15:00.000Z,33,-119.3333333,6,3,mh,,,,,ci,ci10087222,2016-01-27T18:42:44.000Z,
1932-12-29T19:31:34.190Z,33.257,-116.03,6,3.37,ml,2,354,1.342,0.8,ci,ci3359494,2016-01-27T18:47:15.530Z,
1932-12-26T13:55:16.160Z,33.4511667,-116.1631667,6,2.83,ml,3,355,1.146,0.57,ci,ci3359493,2016-01-27T18:30:05.720Z,
1932-12-25T02:04:30.000Z,39.496,96.616,15,7.9,mw,,,,,iscgem,iscgem906530,2015-05-13T18:52:43.000Z,
1932-12-24T06:30:39.000Z,-3.38,145.815,15,6.6,mw,,,,,iscgem,iscgem906529,2015-05-13T18:52:43.000Z,
1932-12-24T03:04:52.390Z,33.7675,-116.4191667,6,3.2,ml,3,357,0.8269,0.61,ci,ci3359490,2016-01-27T18:47:15.070Z,
1932-12-23T21:27:00.000Z,34.6333333,-116.95,6,3.5,mh,,,,,ci,ci10087218,2016-01-27T18:51:27.960Z,
1932-12-23T12:11:03.520Z,34.5491667,-116.2015,6,2.89,ml,2,358,1.57,0.84,ci,ci3359488,2016-01-27T19:00:26.230Z,
1932-12-22T21:42:14.180Z,34.498,-116.7585,6,2.53,ml,2,357,1.11,0.34,ci,ci3359487,2016-01-27T18:56:02.120Z,
1932-12-22T21:27:25.990Z,34.4553333,-116.7863333,6,3.34,ml,4,256,0.6712,0.59,ci,ci3359486,2016-01-27T18:47:14.610Z,
1932-12-21T06:10:10.000Z,38.631,-117.91,10,6.8,mw,,,,,iscgem,iscgem906508,2018-01-11T20:14:29.324Z,
1932-12-20T08:14:24.610Z,34.722,-116.2603333,6,2.93,ml,4,276,1.174,0.36,ci,ci3359483,2016-01-27T18:47:14.160Z,
1932-12-17T04:37:35.880Z,33.9805,-116.6531667,6,3.33,ml,3,282,1.191,0.74,ci,ci3359481,2016-01-27T19:00:25.770Z,
1932-12-14T19:15:59.700Z,33.4611667,-118.2835,6,3.17,ml,4,243,0.6919,0.61,ci,ci3359479,2016-01-27T18:51:27.530Z,
1932-12-14T19:13:02.240Z,33.5701667,-118.2625,6,2.94,ml,4,238,0.5818,0.52,ci,ci3359478,2016-01-27T18:47:13.700Z,
1932-12-10T00:51:46.130Z,33.4105,-118.3246667,6,2.67,ml,3,316,0.7471,0.25,ci,ci3359470,2016-01-27T18:34:16.110Z,
1932-12-09T18:11:15.640Z,33.6583333,-120.4355,6,2.88,ml,4,316,0.9834,0.46,ci,ci3359469,2016-01-27T18:38:21.480Z,
1932-12-09T13:04:37.690Z,33.506,-117.4796667,6,2.95,ml,4,156,0.4939,0.24,ci,ci3359467,2016-01-27T19:00:24.820Z,
1932-12-08T07:34:11.410Z,31.596,-116.0515,6,4.19,ml,4,346,1.624,0.55,ci,ci3359466,2016-01-27T18:42:42.640Z,
1932-12-07T16:22:13.000Z,18.468,-104.28,15,6.6,mw,,,,,iscgem,iscgem906492,2015-05-13T18:52:43.000Z,
1932-12-07T02:44:38.280Z,37.6413333,-118.384,6,2.7,ml,2,358,0.5988,0.62,ci,ci3361945,2016-01-27T18:51:27.080Z,
1932-12-06T18:07:09.760Z,33.6178333,-117.9771667,6,2.69,ml,3,291,0.5533,0.63,ci,ci3359464,2016-01-27T18:42:42.120Z,
1932-12-04T10:33:00.000Z,2.373,120.969,15,6.4,mw,,,,,iscgem,iscgem906487,2015-05-13T18:52:43.000Z,
1932-12-04T08:11:17.000Z,2.451,121.005,15,7.2,mw,,,,,iscgem,iscgem906486,2015-05-13T18:52:43.000Z,
1932-12-03T21:39:39.290Z,34.5951667,-119.1298333,6,3.15,ml,4,218,0.5071,0.45,ci,ci3359463,2016-01-27T18:56:01.600Z,
1932-12-03T12:16:58.640Z,33.9158333,-118.6166667,6,2.82,ml,4,216,0.4367,0.32,ci,ci3359462,2016-01-27T18:42:41.660Z,
1932-12-03T05:37:21.270Z,35.4308333,-117.6405,6,2.73,ml,5,187,0.7472,0.28,ci,ci3359460,2016-01-27T18:42:41.190Z,
1932-12-02T10:54:02.440Z,33.6421667,-117.7123333,6,3.07,ml,3,189,0.633,0.4,ci,ci3359461,2016-01-27T19:00:24.360Z,
1932-11-30T06:43:40.800Z,33.1331667,-117.1303333,6,2.52,ml,3,333,0.8822,0.24,ci,ci3359459,2016-01-27T19:00:23.910Z,
1932-11-29T11:11:00.000Z,-32.192,-71.305,35,6.6,mw,,,,,iscgem,iscgem906476,2015-05-13T18:52:43.000Z,
1932-11-28T23:29:10.790Z,33.6975,-118.3818333,6,2.61,ml,5,174,0.4827,0.41,ci,ci3359457,2016-01-27T18:56:01.100Z,
1932-11-26T07:15:48.450Z,34.9556667,-118.9413333,6,2.78,ml,5,162,0.8186,0.65,ci,ci3359454,2016-01-27T18:51:25.720Z,
1932-11-26T04:27:21.690Z,32.75,-115.5,6,3.33,ml,3,329,1.482,3.21,ci,ci3359453,2016-01-27T18:34:15.650Z,
1932-11-26T04:24:01.000Z,42.292,142.535,57.5,6.4,mw,,,,,iscgem,iscgem906467,2015-05-13T18:52:43.000Z,
1932-11-25T22:45:43.760Z,32.75,-115.5,6,3.37,ml,4,326,1.482,5.1,ci,ci3359451,2016-01-27T19:00:23.450Z,
1932-11-24T13:47:59.170Z,32.9565,-116.3531667,6,3.25,ml,4,303,0.7635,0.41,ci,ci3359449,2016-01-27T18:47:13.240Z,
1932-11-24T09:32:10.430Z,32.8686667,-119.3891667,6,2.64,mh,3,343,1.632,0.06,ci,ci3359447,2016-01-27T18:56:00.190Z,
1932-11-16T18:52:31.570Z,33.9861667,-118.1223333,6,3.12,ml,3,257,0.1669,0.16,ci,ci3359445,2016-01-27T18:30:05.240Z,
1932-11-16T09:46:58.280Z,34.231,-116.7593333,6,2.66,ml,3,336,0.5634,0.38,ci,ci3359438,2016-01-27T18:30:04.780Z,
1932-11-14T17:09:39.050Z,33.9408333,-118.0141667,6,2.71,ml,3,244,0.2447,0.08,ci,ci3359437,2016-01-27T18:34:15.190Z,
1932-11-14T02:42:33.320Z,34.2225,-117.4846667,3.29,3.06,ml,4,247,0.2457,0.2,ci,ci3359436,2016-01-27T18:38:20.560Z,
1932-11-11T14:05:57.240Z,32.3696667,-115.9708333,6,2.82,ml,3,337,1.19,1.03,ci,ci3359432,2016-01-27T18:38:20.030Z,
1932-11-11T06:31:37.770Z,33.4086667,-119.4933333,6,2.58,mh,3,295,1.046,0.48,ci,ci3359431,2016-01-27T18:55:59.730Z,
1932-11-09T20:55:38.240Z,33.126,-119.1113333,6,2.83,ml,3,302,1.287,0.65,ci,ci3359430,2016-01-27T18:34:14.280Z,
1932-11-06T08:56:04.540Z,33.1688333,-116.4708333,6,3.33,ml,4,288,0.7252,0.32,ci,ci3359427,2016-01-27T18:38:19.570Z,
1932-11-06T01:00:01.970Z,32.6178333,-115.874,6,2.74,ml,3,325,1.189,1.57,ci,ci3361940,2016-01-27T18:47:12.330Z,
1932-11-02T11:03:25.000Z,-23.039,-112.348,10,6.5,mw,,,,,iscgem,iscgem906444,2015-05-13T18:52:43.000Z,
1932-11-01T16:09:07.110Z,33.2,-115.6,6,2.8,mh,3,356,1.68,1.51,ci,ci3361938,2016-01-27T18:55:59.270Z,
1932-11-01T04:45:47.210Z,34.0335,-117.3041667,18.71,4,ml,4,250,0.07139,0.08,ci,ci3359417,2016-01-27T18:55:58.750Z,
1932-10-30T20:47:03.000Z,54.975,-159.696,35,6.3,mw,,,,,iscgem,iscgem906441,2015-05-13T18:52:43.000Z,
1932-10-30T05:54:29.700Z,36.756,-118.897,6,2.6,ml,2,254,0.6119,1.65,ci,ci3359411,2016-01-27T18:38:18.170Z,
1932-10-30T02:15:55.580Z,33.9625,-118.8588333,6,2.77,ml,3,234,0.6003,0.15,ci,ci3359409,2016-01-27T18:42:40.750Z,
1932-10-27T02:59:35.340Z,34.852,-119.4948333,6,2.82,ml,3,262,1.299,0.08,ci,ci3359406,2016-01-27T18:51:25.260Z,
1932-10-25T12:50:14.100Z,34.2696667,-118.8141667,6,3.15,ml,3,182,0.5464,0.42,ci,ci3359405,2016-01-27T18:30:04.310Z,
1932-10-25T03:28:43.010Z,37.6778333,-118.2901667,6,4.3,ml,3,357,0.6243,0.25,ci,ci3359402,2016-01-27T18:38:17.710Z,
